8;1;2018-03-27 05:01:01;Drawer oil supermarket combination;1.13
2;7;2018-04-01 03:07:24;Figure disk law advertising;7.6
2;7;2018-04-05 09:22:07;Confidence entrance plan stand;2.35
9;0;2018-03-26 05:52:10;Review price cut many;0.46
4;2;2018-03-31 16:34:28;Requirement recipe room opposite;3.25
2;6;2018-04-01 13:41:00;Strip position style hurry;2.17
7;0;2018-03-26 06:06:43;Tower death a bench;8.13
0;7;2018-04-04 20:14:29;Screen human regular incident;4.22
7;9;2018-03-26 11:05:28;Witness buy wake tree;3.9
4;2;2018-04-01 01:00:34;Appeal steak sense system;0.69
